iter	Passed	Remaining
630	3886	2272
631	3890	2265
632	3894	2258
633	3899	2251
634	3904	2244
635	3911	2238
636	3917	2232
637	3921	2225
638	3926	2218
639	3931	2211
640	3936	2204
641	3941	2197
642	3948	2192
643	3957	2187
644	3965	2182
645	3971	2176
646	3984	2173
647	3995	2170
648	4001	2164
649	4007	2158
650	4014	2151
651	4020	2146
652	4027	2140
653	4035	2135
654	4043	2129
655	4050	2123
656	4056	2117
657	4063	2112
658	4073	2108
659	4081	2102
660	4085	2095
661	4090	2088
662	4095	2081
663	4100	2074
664	4105	2068
665	4110	2061
666	4114	2054
667	4120	2047
668	4125	2040
669	4130	2034
670	4135	2027
671	4141	2021
672	4147	2014
673	4152	2008
674	4159	2002
675	4165	1996
676	4172	1990
677	4179	1984
678	4186	1979
679	4193	1973
680	4200	1967
681	4207	1961
682	4213	1955
683	4220	1949
684	4229	1944
685	4236	1939
686	4243	1933
687	4250	1927
688	4257	1921
689	4264	1915
690	4270	1909
691	4277	1903
692	4284	1897
693	4292	1892
694	4300	1887
695	4305	1880
696	4310	1873
697	4315	1867
698	4321	1860
699	4327	1854
700	4333	1848
701	4338	1841
702	4343	1834
703	4348	1828
704	4353	1821
705	4362	1816
706	4369	1810
707	4374	1804
708	4381	1798
709	4387	1792
710	4394	1786
711	4401	1780
712	4410	1775
713	4417	1769
714	4424	1763
715	4431	1757
716	4438	1751
717	4447	1746
718	4454	1740
719	4460	1734
720	4467	1728
721	4478	1724
722	4487	1719
723	4496	1714
724	4501	1707
725	4506	1700
726	4511	1694
727	4516	1687
728	4521	1680
729	4525	1673
730	4530	1667
731	4535	1660
732	4539	1653
733	4544	1646
734	4548	1639
735	4553	1633
736	4557	1626
737	4561	1619
738	4567	1613
739	4571	1606
740	4576	1599
741	4580	1592
742	4584	1585
743	4589	1579
744	4594	1572
745	4598	1565
746	4603	1559
747	4608	1552
748	4612	1545
749	4616	1538
750	4621	1532
751	4625	1525
752	4629	1518
753	4633	1511
754	4637	1504
755	4641	1498
756	4645	1491
757	4650	1484
758	4659	1479
759	4663	1472
760	4669	1466
761	4677	1460
762	4681	1454
763	4685	1447
764	4689	1440
